"Time","University of Notre Dame","Massachusetts Institute of Technology","Clemson University"
"2022-11-01",38,13,38
"2022-12-01",21,13,20
"2023-01-01",13,13,13
"2023-02-01",14,14,12
"2023-03-01",14,13,15
"2023-04-01",13,13,12
"2023-05-01",13,13,12
"2023-06-01",10,11,11
"2023-07-01",11,11,9
"2023-08-01",23,12,13
"2023-09-01",53,15,44
"2023-10-01",46,15,23
"2023-11-01",33,14,29
"2023-12-01",22,16,16
"2024-01-01",11,13,11
"2024-02-01",7,14,10
"2024-03-01",8,13,12
"2024-04-01",8,13,10
"2024-05-01",7,14,8
"2024-06-01",5,10,7
"2024-07-01",5,10,6
"2024-08-01",8,12,11
"2024-09-01",14,16,12
"2024-10-01",10,14,11
"2024-11-01",10,16,11
"2024-12-01",15,14,13
"2025-01-01",29,13,8
"2025-02-01",6,14,10
"2025-03-01",7,13,9
"2025-04-01",7,14,9
"2025-05-01",6,13,8
"2025-06-01",5,11,5
"2025-07-01",5,12,6
"2025-08-01",8,13,12
"2025-09-01",14,15,13
"2025-10-01",11,15,9
"2025-11-01",11,14,9
"2025-12-01",10,20,8
"2026-01-01",6,27,7
"2026-02-01",5,15,8
"2026-03-01",6,15,7
"2026-04-01",6,14,8
"2026-05-01",5,13,7
"2026-06-01",4,11,5
"2026-07-01",4,10,5
"2026-08-01",5,10,8
